Student Names,Gender,Maths,Science,English,Overall_Total,Attendence,Total_marks_obtained,Percentage,Grade
Nahar singh,Male,76,58,62,300,50,196,65.33333333333333,B
Smith,Male,65,55,67,300,56,187,62.33333333333333,B
Sparsh sood,Male,45,66,85,300,76,196,65.33333333333333,B
Badshya khan,Male,88,86,89,300,90,263,87.66666666666667,A
Gajender singh,Male,85,91,95,300,95,271,90.33333333333333,A
Pooran chand sharma,Male,78,65,76,300,80,219,73.0,B
Mohd ataullah,Male,96,87,69,300,88,252,84.0,A
Johnson,Male,69,79,55,300,83,203,67.66666666666666,B
Williams,Male,45,72,60,300,55,177,59.0,B
Vansu dev,Female,55,84,62,300,58,201,67.0,B
Brown,Female,85,60,75,300,71,220,73.33333333333333,B
Shakshi sagar,Female,98,50,92,300,98,240,80.0,B
Davis,Male,65,40,89,300,88,194,64.66666666666666,B
Reena datta,Female,74,53,52,300,45,179,59.66666666666667,B
Riya masi,Female,62,56,66,300,48,184,61.33333333333333,B
Miller,Male,66,80,73,300,52,219,73.0,B
Kanika kathuria,Female,63,63,77,300,63,203,67.66666666666666,B
Anjali juneja,Female,95,66,87,300,68,248,82.66666666666667,B
Aanamika misra,Female,85,96,54,300,62,235,78.33333333333333,B
Jones,Male,45,55,65,300,65,165,55.00000000000001,B
